user_id,bus_id,rating,date,lat,lon
PVyZXgOkVtnU6966FDFhuw,9MnbQg7kfb_WgxoV0hXKSQ,5,2013-02-09,40.1138182155,-88.2076892527
l6weiXVbIeHP0y2brjzikg,8mKV3KThn3wXGL3OVxrCNg,2,2016-11-24,40.111959,-88.208652
TTLfM41v6O5nleh-qd7GKQ,yUB8CDsYMES3cN-xcHXCkQ,2,2015-06-20,40.1123976963,-88.209259671
pgFHVR9W_FHCMoPc8fe9xw,gZI007iLBe_LZbrHSDxHtg,2,2009-07-19,40.111105,-88.2072274
gWAnm_nfLJ3taYm53cMOSw,vCopginiBsz1STNhQPb8XA,5,2016-01-04,40.112757,-88.2085029
fs8zup-cUxKYwH1q6nlNxg,CfGeAkLKLoKvzSZJxoaicQ,1,2016-09-08,40.1166834,-88.220908
fs8zup-cUxKYwH1q6nlNxg,yiFcujhdkeDhmXRufMG-lw,4,2017-06-18,40.1137608,-88.2088348
fs8zup-cUxKYwH1q6nlNxg,0a9RDYet9uHLzban79z-Vw,1,2017-08-27,40.1104575,-88.2070307
k9iV0_HJ1-IPQTtPnQ6NSQ,aZgYm1nikqb57eA5UkJ0Yw,5,2017-08-15,40.1299243554,-88.2177417424
wtEKrK95qB6pbLj1KA49CQ,9MnbQg7kfb_WgxoV0hXKSQ,5,2011-03-08,40.1138182155,-88.2076892527
fh0SP4y4_YQ_zdzddimZRw,8mKV3KThn3wXGL3OVxrCNg,4,2016-02-06,40.111959,-88.208652
fh0SP4y4_YQ_zdzddimZRw,LElQBiDw8HyU_LrbjP8C1A,5,2016-06-07,40.1159605,-88.2307377
b338sXvPesCh7RCtbA4I-A,azp7DHDIBynX2Zk-1rIujw,1,2017-09-29,40.13144,-88.2218371
PVAE5GxBuLyJlK5WOeHGuw,9MnbQg7kfb_WgxoV0hXKSQ,5,2016-06-24,40.1138182155,-88.2076892527
OEhJdWQWeKO8IYdagNpQFA,9oyiJJ1OVp-4ylgz7Zq0ZQ,1,2015-07-08,40.10896,-88.2055674
DExcV_0WRXqjWnFw9h1jUA,kKCwp86xU9XKRnAALQDhrw,2,2017-10-04,40.106704,-88.225188
sRn0BedN45s1tkqCTkDBfA,U6xqyLII8WqNRbhEx3FXHQ,4,2014-02-09,40.0879260365,-88.1697953554
5GXhPuORduxco4vkTJCCrw,yiFcujhdkeDhmXRufMG-lw,5,2014-10-17,40.1137608,-88.2088348
13BjOGAbb9vqz1DB1BpjlQ,9MnbQg7kfb_WgxoV0hXKSQ,5,2016-08-16,40.1138182155,-88.2076892527
2RJ8d5G_vZqxmaHpaDvl-w,NZ3A0xYdnmIG68mZeZV6AA,4,2016-03-10,40.1132,-88.208287
2RJ8d5G_vZqxmaHpaDvl-w,iZleRh4SOtf4GquA5L8WXw,4,2016-03-10,40.1122506,-88.2080393
hKBQ-PFlcB-t5FK3HUxoyQ,yiFcujhdkeDhmXRufMG-lw,5,2016-02-12,40.1137608,-88.2088348
hKBQ-PFlcB-t5FK3HUxoyQ,UmZdQID7QJoyg2R92mK3HA,4,2015-05-21,40.112708,-88.209446
_lF7Y_10KRFgOXRtiRIA-g,8TnEzVYiQrBH7FDKya3RZQ,5,2017-11-15,40.110929,-88.212056
EAjQ4YuSH0Jg9rIUy6LTgw,9MnbQg7kfb_WgxoV0hXKSQ,5,2012-04-10,40.1138182155,-88.2076892527
PA4GStLi2KGfdGXpMwf7_g,BLtzUCwmGOSVgPJ78N3ORA,4,2016-02-18,40.111024,-88.197063
Z5ZSvqzrjCii_mjZVAxI8A,sjVVGhnLJrcEq0ErUL168w,5,2015-08-22,40.1242205,-88.2004115
CbCFHodyaVUKMOpsn5EPxA,RT7C2OY2W675e6qUUrBdsA,1,2013-05-06,40.123643,-88.200627
gpmYHJAq1WdvzwT-dgz9Ag,pCer-vIZM05p423MFmiSng,4,2014-10-05,40.106822678,-88.2217281018
-C1axHDk0GJCiaKvsNR3eA,o13eH93qmWVNFZogkjhd9w,3,2012-02-09,40.1128225269,-88.2090229914
-C1axHDk0GJCiaKvsNR3eA,Ah4i15g8Ow_zphzcpulTxQ,3,2012-02-13,40.1066554,-88.2236278
-C1axHDk0GJCiaKvsNR3eA,uMuTnzVi9DzDXfG7gVDU3A,1,2011-06-15,40.1166989,-88.223116
-C1axHDk0GJCiaKvsNR3eA,iBRwl7sirmvg22AYnMPONQ,3,2011-02-16,40.116124,-88.21181
-C1axHDk0GJCiaKvsNR3eA,UTrqsP-oQrwoIOmBv_Jtzg,3,2012-02-17,40.1068411,-88.2218579
bR0bexPngAiv-N4soWjh3w,9MnbQg7kfb_WgxoV0hXKSQ,5,2013-08-11,40.1138182155,-88.2076892527
bR0bexPngAiv-N4soWjh3w,w5Y_FiGPSlPemJVxAZZToQ,4,2015-03-20,40.1065482,-88.2217353
5V21LnnfdXtEagU85pJriw,wpGJqeVwtO_dPEG0HFQ0SA,5,2014-01-11,40.0985832214,-88.1928024292
dhCYY22h6zFy3NuQHJWr9w,miMx3VNOW8qPJC5wEGaIOw,4,2010-02-02,40.1132039812,-88.2031739193
dhCYY22h6zFy3NuQHJWr9w,RWd83o4drIOE60W1meaESA,4,2010-02-02,40.1124479,-88.2084132
ELu_uS31hifNyrKq-OzCdA,KCQNEIvtU48Mh07uS-_Gvw,1,2016-11-03,40.11634,-88.22085
CAYavn4JlhvTnUGAhThZcQ,-5NXoZeGBdx3Bdk70tuyCw,5,2013-11-14,40.1176953,-88.2058742
gFd_gbOFb1W0bDPCYfaRKg,dEKnEqm6Q44copoadiT8Iw,3,2015-05-21,40.1165867,-88.2253774
ppMN_r79hkGiEQbRnraflQ,9MnbQg7kfb_WgxoV0hXKSQ,5,2012-01-18,40.1138182155,-88.2076892527
oE6g6C01OZl4vqvyUCcWBg,UmZdQID7QJoyg2R92mK3HA,5,2017-01-14,40.112708,-88.209446
oE6g6C01OZl4vqvyUCcWBg,J7vl6cA5uF0PkqS2ejDTkQ,5,2017-01-14,40.116757,-88.2114239
05C4aRhRYpwcoGCT537jLQ,OBRf8DQVw61CDrZvwXLGlQ,4,2008-04-07,40.131581,-88.221811
aXYeUe-NK_C41N-wFPS8FA,6gAAEQxKNlmpuLz0ZmKx5Q,1,2017-10-10,40.1113451,-88.1637165
gzNyfT5tH9Qk93DHX1Vu7g,UmZdQID7QJoyg2R92mK3HA,3,2017-02-14,40.112708,-88.209446
